HGNC ID	Gene name	UniProt Acc	Canonical Protein Isoform 	Ensembl Transcript	Protein Class	CCDS	Protein Name
HGNC:3433	ERCC1	P07992	P07992-1	"ENST00000300853,ENST00000589165"	Nucleic acid-binding protein	CCDS12662.1	DNA excision repair protein ERCC-1
HGNC:3434	ERCC2	P18074	P18074-1	ENST00000391945	Nucleic acid-binding protein	CCDS33049.1	General transcription and DNA repair factor IIH helicase subunit XPD
HGNC:3435	ERCC3	P19447	P19447	ENST00000285398	"Nucleic acid-binding protein, Hydrolase"	CCDS2144.1	General transcription and DNA repair factor IIH helicase subunit XPB
HGNC:3439	ERCC8	Q13216	Q13216-1	ENST00000265038	"Transcription factor, Nucleic acid-binding protein"	CCDS3978.1	DNA excision repair protein ERCC-8
HGNC:3467	ESR1	P03372	P03372-1	ENST00000440973	"Receptor, Transcription factor, Nucleic acid-binding protein"	CCDS5234.1	Estrogen receptor
HGNC:3473	ESRRB	O95718	O95718-3	ENST00000380887	"Receptor, Transcription factor, Nucleic acid-binding protein"	na	Steroid hormone receptor ERR2
HGNC:3481	ETFA	P13804	P13804-1	ENST00000557943	"Oxidoreductase, Transferase"	CCDS32299.1	"Electron transfer flavoprotein subunit alpha, mitochondrial"
HGNC:3482	ETFB	P38117	P38117-1	ENST00000309244	Oxidoreductase	CCDS12828.1	Electron transfer flavoprotein subunit beta
HGNC:23287	ETHE1	O95571	O95571	ENST00000292147	Hydrolase	CCDS12622.1	"Persulfide dioxygenase ETHE1, mitochondrial"
HGNC:3495	ETV6	P41212	P41212	ENST00000396373	"Signaling molecule, Transcription factor, Nucleic acid-binding protein"	CCDS8643.1	Transcription factor ETV6
HGNC:3511	EXO1	Q9UQ84	Q9UQ84-1	ENST00000366548	"Nucleic acid-binding protein, Hydrolase"	CCDS1620.1	Exonuclease 1
HGNC:17097	EXOSC2	Q13868	Q13868-1	ENST00000372358	"Nucleic acid-binding protein, Hydrolase"	CCDS6935.1	Exosome complex component RRP4
HGNC:17944	EXOSC3	Q9NQT5	Q9NQT5-1	ENST00000327304	"Nucleic acid-binding protein, Hydrolase"	CCDS35016.1	Exosome complex component RRP40
HGNC:17035	EXOSC8	Q96B26	Q96B26	ENST00000389704	"Nucleic acid-binding protein, Hydrolase"	CCDS31958.1	Exosome complex component RRP43
HGNC:12691	EZR	P15311	P15311	ENST00000367075	Cytoskeletal protein	CCDS5258.1	Ezrin
HGNC:3528	F10	P00742	P00742	ENST00000375559	"Protease, Hydrolase"	CCDS9530.1	Coagulation factor X
HGNC:3529	F11	P03951	P03951-1	ENST00000403665	"Protease, Hydrolase"	CCDS3847.1	Coagulation factor XI
HGNC:3530	F12	P00748	P00748	ENST00000253496	"Protease, Hydrolase"	CCDS34302.1	Coagulation factor XII
HGNC:3531	F13A1	P00488	P00488	ENST00000264870	Transferase	CCDS4496.1	Coagulation factor XIII A chain
HGNC:3535	F2	P00734	P00734	ENST00000311907	"Protease, Hydrolase"	CCDS31476.1	Prothrombin
HGNC:3542	F5	P12259	P12259	ENST00000367797	"Receptor, Signaling molecule, Cell Adhesion molecule, Hydrolase"	CCDS1281.1	Coagulation factor V
HGNC:3544	F7	P08709	P08709-1	ENST00000375581	"Protease, Hydrolase"	CCDS9528.1	Coagulation factor VII
HGNC:3546	F8	P00451	P00451-1	ENST00000360256	"Receptor, Signaling molecule, Cell Adhesion molecule, Hydrolase"	CCDS35457.1	Coagulation factor VIII
HGNC:3551	F9	P00740	P00740-1	ENST00000218099	"Protease, Hydrolase"	CCDS14666.1	Coagulation factor IX
HGNC:28467	FAAP24	Q9BTP7	Q9BTP7	"ENST00000588258,ENST00000590281"	Nucleic acid-binding protein	CCDS12426.1	Fanconi anemia core complex-associated protein 24
HGNC:3562	FABP7	O15540	O15540-1	ENST00000368444	Transfer/Carrier protein	CCDS5127.1	"Fatty acid-binding protein, brain"
HGNC:3573	FADD	Q13158	Q13158	ENST00000301838	"Receptor, Signaling molecule, Defense/Immunity protein"	CCDS8196.1	FAS-associated death domain protein
HGNC:24587	FAM126A	Q9BYI3	Q9BYI3-1	ENST00000432176	Signaling molecule	CCDS5377.1	Hyccin
HGNC:23015	FAM20A	Q96MK3	Q96MK3	ENST00000592554	Transferase	CCDS11679.1	Pseudokinase FAM20A
HGNC:29170	FAN1	Q9Y2M0	Q9Y2M0-1	ENST00000362065	"Nucleic acid-binding protein, Hydrolase"	CCDS32186.1	Fanconi-associated nuclease 1
HGNC:3586	FANCE	Q9HB96	Q9HB96	ENST00000229769	Nucleic acid-binding protein	CCDS4805.1	Fanconi anemia group E protein
HGNC:20748	FANCL	Q9NW38	Q9NW38-1	ENST00000233741	Ligase	CCDS1860.1	E3 ubiquitin-protein ligase FANCL
HGNC:21062	FARS2	O95363	O95363	ENST00000324331	Ligase	CCDS4494.1	"Phenylalanine--tRNA ligase, mitochondrial"
HGNC:11920	FAS	P25445	P25445-1	ENST00000355740	Receptor	CCDS7393.1	Tumor necrosis factor receptor superfamily member 6
HGNC:11936	FASLG	P48023	P48023-1	ENST00000367721	Signaling molecule	CCDS1304.1	Tumor necrosis factor ligand superfamily member 6
HGNC:3594	FASN	P49327	P49327	ENST00000306749	"Oxidoreductase, Transferase, Hydrolase, Ligase"	CCDS11801.1	Fatty acid synthase
HGNC:3603	FBN1	P35555	P35555	ENST00000316623	"Signaling molecule, Calcium-binding protein, Cell Adhesion molecule, Extracellular matrix protein"	CCDS32232.1	Fibrillin-1
HGNC:3606	FBP1	P09467	P09467	ENST00000415431	"Phosphatase, Hydrolase"	CCDS6712.1	"Fructose-1,6-bisphosphatase 1"
HGNC:13590	FBXO11	Q86XK2	Q86XK2-1	ENST00000403359	Ligase	CCDS54357.1	F-box only protein 11
HGNC:13586	FBXO7	Q9Y3I1	Q9Y3I1-1	ENST00000266087	Nucleic acid-binding protein	CCDS13907.1	F-box only protein 7
HGNC:16712	FBXW7	Q969H0	Q969H0-1	ENST00000281708	Enzyme modulator	CCDS3777.1	F-box/WD repeat-containing protein 7
HGNC:3623	FCN1	O00602	O00602	ENST00000371806	Signaling molecule	CCDS6985.1	Ficolin-1
HGNC:3631	FDPS	P14324	P14324-1	ENST00000356657	Transferase	CCDS1110.1	Farnesyl pyrophosphate synthase
HGNC:3647	FECH	P22830	P22830-1	ENST00000262093	Lyase	CCDS11964.1	"Ferrochelatase, mitochondrial"
HGNC:3650	FEN1	P39748	P39748-1	ENST00000305885	"Nucleic acid-binding protein, Hydrolase"	CCDS8010.1	Flap endonuclease 1
HGNC:3661	FGA	P02671	P02671-1	ENST00000302053	Signaling molecule	CCDS3787.1	Fibrinogen alpha chain
HGNC:3662	FGB	P02675	P02675	ENST00000302068	Signaling molecule	CCDS3786.1	Fibrinogen beta chain
HGNC:3666	FGF10	O15520	O15520	ENST00000264664	Signaling molecule	CCDS3950.1	Fibroblast growth factor 10
HGNC:3668	FGF12	P61328	P61328-1	ENST00000454309	Signaling molecule	CCDS3301.1	Fibroblast growth factor 12
HGNC:3680	FGF23	Q9GZV9	Q9GZV9	ENST00000237837	Signaling molecule	CCDS8526.1	Fibroblast growth factor 23
HGNC:3687	FGF9	P31371	P31371	ENST00000382353	Signaling molecule	CCDS9298.1	Fibroblast growth factor 9
HGNC:3688	FGFR1	P11362	P11362-1	ENST00000447712	"Receptor, Kinase, Transferase, Nucleic acid-binding protein, Signaling molecule"	CCDS6107.2	Fibroblast growth factor receptor 1
HGNC:3689	FGFR2	P21802	P21802-1	ENST00000358487	"Receptor, Kinase, Transferase, Signaling molecule"	CCDS31298.1	Fibroblast growth factor receptor 2
HGNC:3690	FGFR3	P22607	P22607-1	ENST00000440486	"Receptor, Kinase, Transferase"	CCDS3353.1	Fibroblast growth factor receptor 3
HGNC:3691	FGFR4	P22455	P22455-1	ENST00000292408	"Receptor, Kinase, Transferase, Signaling molecule"	CCDS4410.1	Fibroblast growth factor receptor 4
HGNC:3694	FGG	P02679	P02679-1	ENST00000336098	Signaling molecule	CCDS3788.1	Fibrinogen gamma chain
HGNC:3700	FH	P07954	P07954-1	ENST00000366560	Lyase	CCDS1617.1	"Fumarate hydratase, mitochondrial"
HGNC:3703	FHL2	Q14192	Q14192-1	ENST00000358129	Transcription factor	CCDS2070.1	Four and a half LIM domains protein 2
HGNC:27310	FLCN	Q8NFG4	Q8NFG4-1	ENST00000285071	Cell Junction protein	CCDS32579.1	Folliculin
HGNC:3749	FLI1	Q01543	Q01543-1	ENST00000527786	"Signaling molecule, Transcription factor, Nucleic acid-binding protein"	CCDS44768.1	Friend leukemia integration 1 transcription factor
HGNC:3754	FLNA	P21333	P21333-1	ENST00000369850	"Cytoskeletal protein, Signaling molecule, Cell Junction protein"	CCDS48194.1	Filamin-A
HGNC:3755	FLNB	O75369	O75369-1	ENST00000295956	"Cytoskeletal protein, Nucleic acid-binding protein"	CCDS2885.1	Filamin-B
HGNC:3756	FLNC	Q14315	Q14315-1	ENST00000325888	Cytoskeletal protein	CCDS43644.1	Filamin-C
HGNC:3762	FLRT3	Q9NZU0	Q9NZU0	ENST00000378053	"Enzyme modulator, Cell Adhesion molecule, Cell Junction protein"	CCDS13121.1	Leucine-rich repeat transmembrane protein FLRT3
HGNC:3763	FLT1	P17948	P17948-1	ENST00000282397	"Receptor, Kinase, Transferase, Cell Junction protein"	CCDS9330.1	Vascular endothelial growth factor receptor 1
HGNC:3765	FLT3	P36888	P36888-1	ENST00000241453	"Receptor, Kinase, Transferase"	CCDS31953.1	Receptor-type tyrosine-protein kinase FLT3
HGNC:3775	FMR1	Q06787	Q06787-1	ENST00000370475	Nucleic acid-binding protein	CCDS14682.1	Synaptic functional regulator FMR1
HGNC:3791	FOLR1	P15328	P15328	ENST00000393679	"Transporter, Receptor"	CCDS8211.1	Folate receptor alpha
HGNC:3801	FOXC2	Q99958	Q99958	ENST00000320354	"Transcription factor, Nucleic acid-binding protein"	CCDS10958.1	Forkhead box protein C2
HGNC:12765	FOXN1	O15353	O15353	ENST00000226247	"Transcription factor, Nucleic acid-binding protein"	CCDS11232.1	Forkhead box protein N1
HGNC:3823	FOXP1	Q9H334	Q9H334-1	"ENST00000318789,ENST00000475937,ENST00000498215"	"Transcription factor, Nucleic acid-binding protein"	CCDS2914.1	Forkhead box protein P1
HGNC:13875	FOXP2	O15409	O15409-1	"ENST00000350908,ENST00000393494"	Nucleic acid-binding protein	CCDS5760.1	Forkhead box protein P2
HGNC:6106	FOXP3	Q9BZS1	Q9BZS1-1	ENST00000376207	"Transcription factor, Nucleic acid-binding protein"	CCDS14323.1	Forkhead box protein P3
HGNC:3964	FSHB	P01225	P01225	ENST00000417547	Signaling molecule	CCDS7868.1	Follitropin subunit beta
HGNC:3969	FSHR	P23945	P23945-1	ENST00000304421	"Receptor, Extracellular matrix protein"	CCDS1843.1	Follicle-stimulating hormone receptor
HGNC:3999	FTL	P02792	P02792	ENST00000331825	"Transporter, Signaling molecule"	CCDS33070.1	Ferritin light chain
HGNC:24678	FTO	Q9C0B1	Q9C0B1-1	ENST00000471389	Oxidoreductase	CCDS32448.1	Alpha-ketoglutarate-dependent dioxygenase FTO
HGNC:4010	FUS	P35637	P35637-1	ENST00000254108	"Transcription factor, Nucleic acid-binding protein"	CCDS10707.1	RNA-binding protein FUS
HGNC:3951	FXN	Q16595	Q16595-1	ENST00000377270	"Kinase, Transporter, Transferase"	CCDS6626.1	"Frataxin, mitochondrial"
HGNC:4026	FXYD2	P54710	P54710-1	ENST00000292079	"Enzyme modulator, Transporter"	CCDS8386.1	Sodium/potassium-transporting ATPase subunit gamma
HGNC:4042	FZD4	Q9ULV1	Q9ULV1	ENST00000531380	"Receptor, Signaling molecule, Enzyme modulator"	CCDS8279.1	Frizzled-4
HGNC:4057	G6PD	P11413	P11413-1	"ENST00000393562,ENST00000393564ENST00000393564"	Oxidoreductase	CCDS44023.1	Glucose-6-phosphate 1-dehydrogenase
HGNC:4065	GAA	P10253	P10253	ENST00000302262	Hydrolase	CCDS32760.1	Lysosomal alpha-glucosidase
HGNC:4083	GABRB3	P28472	P28472-1	ENST00000311550	"Receptor, Transporter"	CCDS10019.1	Gamma-aminobutyric acid receptor subunit beta-3
HGNC:4116	GALE	Q14376	Q14376-1	ENST00000374497	Isomerase	CCDS242.1	UDP-glucose 4-epimerase
HGNC:4118	GALK1	P51570	P51570-1	ENST00000588479	"Kinase, Transferase"	CCDS11728.1	Galactokinase
HGNC:4122	GALNS	P34059	P34059	ENST00000268695	Hydrolase	CCDS10970.1	N-acetylgalactosamine-6-sulfatase
HGNC:4124	GALNT2	Q10471	Q10471-1	ENST00000366672	Transferase	CCDS1582.1	Polypeptide N-acetylgalactosaminyltransferase 2
HGNC:4135	GALT	P07902	P07902-1	ENST00000378842	Transferase	CCDS6565.1	Galactose-1-phosphate uridylyltransferase
HGNC:4136	GAMT	Q14353	Q14353-1	ENST00000252288	Transferase	CCDS12064.1	Guanidinoacetate N-methyltransferase
HGNC:4137	GAN	Q9H2C0	Q9H2C0	ENST00000568107	Cytoskeletal protein	CCDS10935.1	Gigaxonin
HGNC:4162	GARS	P41250	P41250	ENST00000389266	Ligase	CCDS43564.1	Glycine--tRNA ligase
HGNC:4173	GATA4	P43694	P43694-1	ENST00000335135	"Transcription factor, Nucleic acid-binding protein"	CCDS5983.1	Transcription factor GATA-4
HGNC:4175	GATM	P50440	P50440-1	ENST00000396659	Transferase	CCDS10122.1	"Glycine amidinotransferase, mitochondrial"
HGNC:4177	GBA	P04062	P04062-1	ENST00000327247	Hydrolase	CCDS1102.1	Glucosylceramidase
HGNC:4180	GBE1	Q04446	Q04446	ENST00000429644	Hydrolase	CCDS54612.1	"1,4-alpha-glucan-branching enzyme"
HGNC:4189	GCDH	Q92947	Q92947-1	ENST00000222214	"Oxidoreductase, Transferase"	CCDS12286.1	"Glutaryl-CoA dehydrogenase, mitochondrial"
HGNC:4192	GCGR	P47871	P47871	ENST00000400723	Receptor	CCDS54177.1	Glucagon receptor
HGNC:4193	GCH1	P30793	P30793-1	ENST00000491895	Hydrolase	CCDS9720.1	GTP cyclohydrolase 1
HGNC:4195	GCK	P35557	P35557-1	ENST00000403799	Kinase	CCDS5479.1	Glucokinase
HGNC:4196	GCKR	Q14397	Q14397-1	NM_001486.3	Enzyme modulator	CCDS1757.1	Glucokinase regulatory protein
HGNC:4217	GDF2	Q9UK05	Q9UK05	ENST00000249598	Signaling molecule	CCDS73118.1	Growth/differentiation factor 2
HGNC:4220	GDF5	P43026	P43026	ENST00000374372	Signaling molecule	CCDS13254.1	Growth/differentiation factor 5
HGNC:4232	GDNF	P39905	P39905-1	ENST00000326524	Signaling molecule	CCDS3922.1	Glial cell line-derived neurotrophic factor
HGNC:4236	GFER	P55789	P55789-1	ENST00000248114	Oxidoreductase	CCDS32368.1	FAD-linked sulfhydryl oxidase ALR
HGNC:4261	GH1	P01241	P01241-1	ENST00000323322	Signaling molecule	CCDS11653.1	Somatotropin
HGNC:4263	GHR	P10912	P10912-1	ENST00000230882	"Signaling molecule, Defense/Immunity protein"	CCDS3940.1	Growth hormone receptor
HGNC:4266	GHRHR	Q02643	Q02643	ENST00000326139	"Receptor, Signaling molecule"	CCDS5432.1	Growth hormone-releasing hormone receptor
HGNC:4268	GIF	P27352	P27352-1	ENST00000257248	Transfer/Carrier protein	CCDS7977.1	Gastric intrinsic factor
HGNC:28980	GINS1	Q14691	Q14691	ENST00000262460	Nucleic acid-binding protein	CCDS33451.1	DNA replication complex GINS protein PSF1
HGNC:4274	GJA1	P17302	P17302	ENST00000282561	Cell Junction protein	CCDS5123.1	Gap junction alpha-1 protein
HGNC:4283	GJB1	P08034	P08034	ENST00000374022	Cell Junction protein	CCDS14408.1	Gap junction beta-1 protein
HGNC:4284	GJB2	P29033	P29033	ENST00000382844	Cell Junction protein	CCDS9290.1	Gap junction beta-2 protein
HGNC:4296	GLA	P06280	P06280	ENST00000218516	Hydrolase	CCDS14484.1	Alpha-galactosidase A
HGNC:4298	GLB1	P16278	P16278-1	"ENST00000307363,ENST00000399402,ENST00000445488ENST00000307363,ENST00000445488ENST00000307363ENST00000307363,ENST00000399402"	Hydrolase	CCDS43061.1	Beta-galactosidase
HGNC:4324	GLP1R	P43220	P43220	ENST00000373256	"Receptor, Signaling molecule"	CCDS4839.1	Glucagon-like peptide 1 receptor
HGNC:20134	GLRX5	Q86SX6	Q86SX6	ENST00000331334	Transporter	CCDS9936.1	"Glutaredoxin-related protein 5, mitochondrial"
HGNC:4335	GLUD1	P00367	P00367-1	ENST00000277865	Oxidoreductase	CCDS7382.1	"Glutamate dehydrogenase 1, mitochondrial"
HGNC:4341	GLUL	P15104	P15104	ENST00000311223	Ligase	CCDS1344.1	Glutamine synthetase
HGNC:4367	GM2A	P17900	P17900	ENST00000357164	Transfer/Carrier protein	CCDS4313.1	Ganglioside GM2 activator
HGNC:4387	GNAI3	P08754	P08754	ENST00000369851	Enzyme modulator	CCDS802.1	Guanine nucleotide-binding protein G(k) subunit alpha
HGNC:4392	GNAS	P63092	P63092	ENST00000371085	Nucleic acid-binding protein	CCDS13472.1	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short
HGNC:4396	GNB1	P62873	P62873-1	ENST00000378609	"Enzyme modulator, Hydrolase"	CCDS34.1	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1
HGNC:4415	GNMT	Q14749	Q14749	ENST00000372808	Transferase	CCDS4876.1	Glycine N-methyltransferase
HGNC:29670	GNPTAB	Q3T906	Q3T906-1	ENST00000299314	Transferase	CCDS9088.1	N-acetylglucosamine-1-phosphotransferase subunits alpha/beta
HGNC:4439	GP1BA	P07359	P07359	ENST00000329125	"Receptor, Extracellular matrix protein"	CCDS54068.1	Platelet glycoprotein Ib alpha chain
HGNC:4440	GP1BB	P13224	P13224-1	ENST00000366425	"Extracellular matrix protein, Cell Adhesion molecule"	CCDS42980.1	Platelet glycoprotein Ib beta chain
HGNC:14388	GP6	Q9HCN6	Q9HCN6-1	ENST00000417454	"Receptor, Enzyme modulator, Defense/Immunity protein"	CCDS46184.1	Platelet glycoprotein VI
HGNC:4444	GP9	P14770	P14770	ENST00000307395	"Receptor, Cell Adhesion molecule"	CCDS3055.1	Platelet glycoprotein IX
HGNC:4455	GPD1	P21695	P21695-1	ENST00000301149	Oxidoreductase	CCDS8799.1	"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic"
HGNC:28956	GPD1L	Q8N335	Q8N335	ENST00000282541	Oxidoreductase	CCDS33729.1	Glycerol-3-phosphate dehydrogenase 1-like protein
HGNC:4458	GPI	P06744	P06744-1	ENST00000356487	Isomerase	CCDS12437.1	Glucose-6-phosphate isomerase
HGNC:18062	GPT2	Q8TD30	Q8TD30-1	ENST00000340124	Transferase	CCDS10725.1	Alanine aminotransferase 2
HGNC:4570	GRHPR	Q9UBQ7	Q9UBQ7-1	ENST00000318158	Oxidoreductase	CCDS6609.1	Glyoxylate reductase/hydroxypyruvate reductase
HGNC:4584	GRIN1	Q05586	Q05586-1	ENST00000371561	"Receptor, Transporter"	CCDS7031.1	"Glutamate receptor ionotropic, NMDA 1"
HGNC:4585	GRIN2A	Q12879	Q12879-1	ENST00000396573	"Receptor, Transporter"	CCDS10539.1	"Glutamate receptor ionotropic, NMDA 2A"
HGNC:4544	GRK5	P34947	P34947	ENST00000392870	"Kinase, Transferase"	CCDS7612.1	G protein-coupled receptor kinase 5
HGNC:4593	GRM1	Q13255	Q13255-1	ENST00000361719	Receptor	CCDS5209.1	Metabotropic glutamate receptor 1
HGNC:4599	GRM7	Q14831	Q14831-1	ENST00000357716	Receptor	CCDS43042.1	Metabotropic glutamate receptor 7
HGNC:4601	GRN	P28799	P28799-1	ENST00000053867	Signaling molecule	CCDS11483.1	Granulins
HGNC:4620	GSN	P06396	P06396-1	ENST00000373818	Cytoskeletal protein	CCDS6828.1	Gelsolin
HGNC:4623	GSR	P00390	P00390-1	ENST00000221130	Oxidoreductase	CCDS34877.1	"Glutathione reductase, mitochondrial"
HGNC:4624	GSS	P48637	P48637-1	ENST00000216951	Ligase	CCDS13245.1	Glutathione synthetase
HGNC:4651	GTF2E2	P29084	P29084	ENST00000355904	Transcription factor	CCDS6078.1	Transcription initiation factor IIE subunit beta
HGNC:21157	GTF2H5	Q6ZYL4	Q6ZYL4	ENST00000607778	"Transcription factor, Nucleic acid-binding protein"	CCDS5256.1	General transcription factor IIH subunit 5
HGNC:4685	GUCY1A3	Q02108	Q02108-1	ENST00000296518	Lyase	CCDS34085.1	Guanylate cyclase soluble subunit alpha-1
HGNC:4696	GUSB	P08236	P08236-1	ENST00000304895	Hydrolase	CCDS5530.1	Beta-glucuronidase
HGNC:4699	GYG1	P46976	P46976-1	ENST00000345003	Transferase	CCDS3139.1	Glycogenin-1
HGNC:4700	GYG2	O15488	O15488-1	ENST00000381163	Transferase	CCDS14121.1	Glycogenin-2
HGNC:4702	GYPA	P02724	P02724-1	NM_002099.7	"Receptor, Defense/Immunity protein"	CCDS34069.1	Glycophorin-A
HGNC:4799	HADH	Q16836	Q16836-1	ENST00000309522	Oxidoreductase	CCDS3678.1	"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial"
HGNC:15598	HAMP	P81172	P81172	ENST00000598398	Signaling molecule	CCDS12454.1	Hepcidin
HGNC:4816	HARS	P12081	P12081-1	ENST00000504156	"Nucleic acid-binding protein, Ligase"	CCDS4237.1	"Histidine--tRNA ligase, cytoplasmic"
HGNC:4824	HBA2	P69905	P69905	ENST00000251595	"Transporter, Transfer/Carrier protein"	CCDS10398.1	Hemoglobin subunit alpha
HGNC:4827	HBB	P68871	P68871	ENST00000335295	Transfer/Carrier protein	CCDS7753.1	Hemoglobin subunit beta
HGNC:4829	HBD	P02042	P02042	ENST00000380299	Transporter	CCDS31376.1	Hemoglobin subunit delta
HGNC:4831	HBG1	P69891	P69891	ENST00000330597	"Transporter, Transfer/Carrier protein"	CCDS7754.1	Hemoglobin subunit gamma-1
HGNC:4832	HBG2	P69892	P69892	ENST00000380259	Transfer/Carrier protein	CCDS7755.1	Hemoglobin subunit gamma-2
HGNC:4839	HCFC1	P51610	P51610-1	ENST00000310441	"Cytoskeletal protein, Nucleic acid-binding protein"	CCDS44020.1	Host cell factor 1
HGNC:4845	HCN1	O60741	O60741	ENST00000303230	Transporter	CCDS3952.1	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1
HGNC:4846	HCN2	Q9UL51	Q9UL51	ENST00000251287	Transporter	CCDS12035.1	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2
HGNC:16882	HCN4	Q9Y3Q4	Q9Y3Q4	ENST00000261917	Transporter	CCDS10248.1	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4
HGNC:4852	HDAC1	Q13547	Q13547	ENST00000373548	"Nucleic acid-binding protein, Oxidoreductase, Hydrolase"	CCDS360.1	Histone deacetylase 1
HGNC:14063	HDAC4	P56524	P56524-1	ENST00000345617	"Nucleic acid-binding protein, Hydrolase, Transcription factor"	CCDS2529.1	Histone deacetylase 4
HGNC:13315	HDAC8	Q9BY41	Q9BY41-1	ENST00000373573	"Nucleic acid-binding protein, Oxidoreductase, Hydrolase"	CCDS14420.1	Histone deacetylase 8
HGNC:4868	HERC2	O95714	O95714	ENST00000261609	"Enzyme modulator, Nucleic acid-binding protein"	CCDS10021.1	E3 ubiquitin-protein ligase HERC2
HGNC:4877	HESX1	Q9UBX0	Q9UBX0	ENST00000295934	"Nucleic acid-binding protein, Cell Junction protein, Transcription factor"	CCDS2881.1	Homeobox expressed in ES cells 1
HGNC:4878	HEXA	P06865	P06865-1	ENST00000268097	Hydrolase	CCDS10243.1	Beta-hexosaminidase subunit alpha
HGNC:4879	HEXB	P07686	P07686	ENST00000261416	Hydrolase	CCDS4022.1	Beta-hexosaminidase subunit beta
HGNC:4886	HFE	Q30201	Q30201-1	ENST00000357618	Defense/Immunity protein	CCDS4578.1	Hereditary hemochromatosis protein
HGNC:4887	HFE2	Q6ZVN8	Q6ZVN8-1	ENST00000336751	"Receptor, Signaling molecule"	CCDS72879.1	Hemojuvelin
HGNC:4892	HGD	Q93099	Q93099	ENST00000283871	Oxidoreductase	CCDS3000.1	"Homogentisate 1,2-dioxygenase"
HGNC:4893	HGF	P14210	P14210-1	ENST00000222390	"Protease, Hydrolase"	CCDS5597.1	Hepatocyte growth factor
HGNC:4908	HIBCH	Q6NVY1	Q6NVY1-1	ENST00000359678	"Oxidoreductase, Transferase, Lyase, Isomerase, Ligase"	CCDS2304.1	"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial"
HGNC:26938	HIKESHI	Q53FT3	Q53FT3	ENST00000278483	"Transfer/Carrier protein, Chaperone"	CCDS8275.1	Protein Hikeshi
HGNC:4912	HINT1	P49773	P49773	ENST00000304043	"Phosphatase, Hydrolase"	CCDS4147.1	Histidine triad nucleotide-binding protein 1
HGNC:4778	HIST3H3	Q16695	Q16695	ENST00000366696	Nucleic acid-binding protein	CCDS1572.1	Histone H3.1t
HGNC:4922	HK1	P19367	P19367-1	ENST00000359426	Kinase	CCDS7292.1	Hexokinase-1
HGNC:4923	HK2	P52789	P52789	ENST00000290573	"Kinase, Transferase"	CCDS1956.1	Hexokinase-2
HGNC:4982	HMBS	P08397	P08397-1	ENST00000278715	Hydrolase	CCDS8409.1	Porphobilinogen deaminase
HGNC:5005	HMGCL	P35914	P35914-1	ENST00000374490	"Transferase, Lyase"	CCDS243.1	"Hydroxymethylglutaryl-CoA lyase, mitochondrial"
HGNC:5008	HMGCS2	P54868	P54868-1	ENST00000369406	"Transferase, Lyase"	CCDS905.1	"Hydroxymethylglutaryl-CoA synthase, mitochondrial"
HGNC:5013	HMOX1	P09601	P09601	ENST00000216117	Oxidoreductase	CCDS13914.1	Heme oxygenase 1
HGNC:11621	HNF1A	P20823	P20823-1	NM_000545.6	"Transcription factor, Nucleic acid-binding protein"	CCDS9209.1	Hepatocyte nuclear factor 1-alpha
HGNC:11630	HNF1B	P35680	P35680-1	ENST00000225893	"Transcription factor, Nucleic acid-binding protein"	CCDS11324.1	Hepatocyte nuclear factor 1-beta
HGNC:5028	HNMT	P50135	P50135-1	ENST00000280097	Transferase	CCDS2181.1	Histamine N-methyltransferase
HGNC:5031	HNRNPA1	P09651	P09651-1	ENST00000340913	Nucleic acid-binding protein	CCDS44909.1	Heterogeneous nuclear ribonucleoprotein A1
HGNC:25155	HOGA1	Q86XE5	Q86XE5-1	ENST00000370646	Lyase	CCDS7467.1	"4-hydroxy-2-oxoglutarate aldolase, mitochondrial"
HGNC:5102	HOXA13	P31271	P31271	ENST00000222753	"Transcription factor, Nucleic acid-binding protein, Cell Junction protein, Cytoskeletal protein"	CCDS5412.1	Homeobox protein Hox-A13
HGNC:5111	HOXB1	P14653	P14653-1	ENST00000239174	"Transcription factor, Nucleic acid-binding protein"	CCDS32675.1	Homeobox protein Hox-B1
HGNC:5112	HOXB13	Q92826	Q92826	ENST00000290295	"Transcription factor, Nucleic acid-binding protein"	CCDS11536.1	Homeobox protein Hox-B13
HGNC:5141	HP	P00738	P00738-1	ENST00000355906	"Protease, Hydrolase"	CCDS45524.1	Haptoglobin
HGNC:5144	HPCA	P84074	P84074	ENST00000373467	Calcium-binding protein	CCDS370.1	Neuron-specific calcium-binding protein hippocalcin
HGNC:5147	HPD	P32754	P32754-1	"NM_001171993.1,NM_002150.2NM_002150.2"	Oxidoreductase	CCDS9224.1	4-hydroxyphenylpyruvate dioxygenase
HGNC:5154	HPGD	P15428	P15428-1	ENST00000296522	Oxidoreductase	CCDS3821.1	15-hydroxyprostaglandin dehydrogenase [NAD(+)]
